id,custId,txId,opened,status,priority,fraudType,fraudAmt,analyst,resolution,recoveredAmt,sla
CASE-0042,CUST-0703,TX-007372,2/10/2026,Escalated,High,Synthetic ID,5267.97,Sara K.,Pending,0,5 days
CASE-0043,CUST-0945,TX-001201,4/17/2026,Escalated,Low,Account Takeover,9865.35,Sara K.,Pending,0,5 days
CASE-0044,CUST-0142,TX-008231,2/26/2026,Closed,Critical,Synthetic ID,4593.1,Ahmed M.,Fraud Confirmed,3260.96,12 hrs
CASE-0045,CUST-0424,TX-008095,4/3/2026,Escalated,High,Account Takeover,7468.01,Fatima S.,Pending,0,OVERDUE
CASE-0046,CUST-0310,TX-009895,3/7/2026,Open,Critical,Synthetic ID,2069.49,Sara K.,Pending,0,5 days
CASE-0047,CUST-0006,TX-002886,4/20/2026,Investigating,Low,Card Fraud,2686.65,Fatima S.,Pending,0,2 days
CASE-0048,CUST-0286,TX-003567,3/31/2026,Investigating,High,Phishing,2495.95,Fatima S.,Pending,0,OVERDUE
CASE-0049,CUST-0164,TX-002790,2/2/2026,Closed,High,Account Takeover,601.01,Noor F.,Fraud Confirmed,445.51,2 days
CASE-0050,CUST-0084,TX-001492,4/21/2026,Investigating,High,Money Laundering,2158.64,Sara K.,Pending,0,2 days
CASE-0051,CUST-0822,TX-005053,1/28/2026,Investigating,High,Synthetic ID,3034.53,Ali R.,Pending,0,5 days
CASE-0052,CUST-0810,TX-008960,4/17/2026,Escalated,High,Synthetic ID,8022.92,Ahmed M.,Pending,0,5 days
CASE-0053,CUST-0622,TX-005490,3/19/2026,Investigating,Low,Account Takeover,3626.37,Ali R.,Pending,0,12 hrs
CASE-0054,CUST-0306,TX-009532,3/1/2026,Open,Medium,Money Laundering,7125.89,Sara K.,Pending,0,OVERDUE
CASE-0055,CUST-0461,TX-009056,2/16/2026,Closed,High,Account Takeover,5432.78,Ahmed M.,Fraud Confirmed,2077.14,12 hrs
CASE-0056,CUST-0639,TX-002912,4/10/2026,Escalated,High,Phishing,8006.76,Noor F.,Pending,0,5 days
CASE-0057,CUST-0370,TX-001562,4/3/2026,Open,High,Account Takeover,9652.65,Noor F.,Pending,0,2 days
CASE-0058,CUST-0287,TX-003282,3/9/2026,Investigating,Low,Synthetic ID,9184.11,Fatima S.,Pending,0,5 days
CASE-0059,CUST-0666,TX-008685,4/9/2026,Open,Low,Synthetic ID,4909.94,Ahmed M.,Pending,0,5 days
CASE-0060,CUST-0659,TX-002788,2/2/2026,Escalated,Low,Card Fraud,442.69,Sara K.,Pending,0,5 days
CASE-0061,CUST-0019,TX-008887,3/7/2026,Escalated,High,Phishing,4523.68,Noor F.,Pending,0,5 days
CASE-0062,CUST-0992,TX-008421,2/2/2026,Investigating,Low,Account Takeover,7477.7,Fatima S.,Pending,0,OVERDUE
CASE-0063,CUST-0420,TX-000574,2/27/2026,Open,Critical,Money Laundering,7332.03,Ali R.,Pending,0,OVERDUE
CASE-0064,CUST-0232,TX-003633,2/21/2026,Escalated,Medium,Money Laundering,7550.46,Sara K.,Pending,0,OVERDUE
CASE-0065,CUST-0089,TX-009444,3/6/2026,Open,Medium,Synthetic ID,4856.07,Sara K.,Pending,0,OVERDUE
CASE-0066,CUST-0883,TX-000365,2/9/2026,Investigating,Low,Card Fraud,7943.77,Fatima S.,Pending,0,OVERDUE
CASE-0067,CUST-0131,TX-001363,1/24/2026,Escalated,Medium,Account Takeover,6422.54,Ahmed M.,Pending,0,12 hrs
CASE-0068,CUST-0987,TX-008561,2/15/2026,Closed,Critical,Account Takeover,5480.46,Fatima S.,Fraud Confirmed,1903.39,5 days
CASE-0069,CUST-0084,TX-005436,3/26/2026,Open,High,Phishing,4415.12,Ali R.,Pending,0,12 hrs
CASE-0070,CUST-0958,TX-004942,3/17/2026,Closed,High,Money Laundering,2048.18,Sara K.,Fraud Confirmed,380.42,12 hrs
CASE-0071,CUST-0746,TX-003107,3/23/2026,Open,High,Money Laundering,6589.77,Noor F.,Pending,0,12 hrs
CASE-0072,CUST-0658,TX-000598,2/16/2026,Closed,Medium,Synthetic ID,11127.71,Noor F.,Fraud Confirmed,1728.23,12 hrs
CASE-0073,CUST-0557,TX-002158,2/28/2026,Investigating,Medium,Money Laundering,1245.82,Noor F.,Pending,0,5 days
CASE-0074,CUST-0961,TX-009218,3/25/2026,Closed,High,Card Fraud,2697.4,Fatima S.,Fraud Confirmed,10.74,12 hrs
CASE-0075,CUST-0160,TX-007807,3/14/2026,Open,Medium,Money Laundering,10758.77,Noor F.,Pending,0,OVERDUE
CASE-0076,CUST-0016,TX-004082,4/13/2026,Open,Low,Card Fraud,1359.59,Sara K.,Pending,0,OVERDUE
CASE-0077,CUST-0703,TX-002666,3/26/2026,Open,Medium,Phishing,2619.32,Fatima S.,Pending,0,OVERDUE
CASE-0078,CUST-0659,TX-003079,3/12/2026,Investigating,High,Phishing,7900.73,Fatima S.,Pending,0,OVERDUE
CASE-0079,CUST-0383,TX-009836,2/28/2026,Escalated,High,Money Laundering,20.13,Ali R.,Pending,0,2 days
CASE-0080,CUST-0827,TX-003658,4/6/2026,Investigating,Critical,Phishing,7046.03,Sara K.,Pending,0,OVERDUE
CASE-0081,CUST-0930,TX-009004,4/2/2026,Open,Critical,Card Fraud,2761.18,Fatima S.,Pending,0,OVERDUE
CASE-0082,CUST-0999,TX-000076,3/26/2026,Closed,Low,Synthetic ID,10613.38,Noor F.,Fraud Confirmed,2674.84,5 days
CASE-0083,CUST-0926,TX-002020,2/6/2026,Open,High,Card Fraud,7948.59,Fatima S.,Pending,0,5 days
CASE-0084,CUST-0491,TX-004178,3/16/2026,Investigating,High,Card Fraud,5717.05,Ahmed M.,Pending,0,2 days
CASE-0085,CUST-0294,TX-006019,2/4/2026,Escalated,Medium,Phishing,7063.44,Ali R.,Pending,0,OVERDUE
CASE-0086,CUST-0273,TX-004687,4/5/2026,Open,High,Phishing,4177.24,Noor F.,Pending,0,2 days
CASE-0087,CUST-0016,TX-003955,2/23/2026,Closed,Medium,Card Fraud,5066.37,Noor F.,Fraud Confirmed,3538.47,5 days
CASE-0088,CUST-0972,TX-005408,3/25/2026,Closed,Medium,Card Fraud,6068.04,Ahmed M.,Fraud Confirmed,2094.52,5 days
CASE-0089,CUST-0511,TX-009267,3/10/2026,Closed,Low,Money Laundering,2562.45,Noor F.,Fraud Confirmed,1959.21,12 hrs
CASE-0090,CUST-0152,TX-008585,3/19/2026,Investigating,Critical,Card Fraud,10015.36,Noor F.,Pending,0,5 days
CASE-0091,CUST-0878,TX-001147,2/23/2026,Escalated,Critical,Phishing,1129.29,Noor F.,Pending,0,2 days
CASE-0092,CUST-0562,TX-003267,4/14/2026,Closed,High,Money Laundering,1214.03,Sara K.,Fraud Confirmed,967.65,OVERDUE
CASE-0093,CUST-0327,TX-008856,4/21/2026,Investigating,Medium,Money Laundering,7686.81,Noor F.,Pending,0,12 hrs
CASE-0094,CUST-0178,TX-004591,1/30/2026,Closed,Critical,Money Laundering,2290.82,Fatima S.,Fraud Confirmed,550.26,12 hrs
CASE-0095,CUST-0804,TX-007435,3/4/2026,Closed,High,Card Fraud,2021.81,Ali R.,Fraud Confirmed,1506.59,5 days
CASE-0096,CUST-0605,TX-007724,2/12/2026,Investigating,Critical,Card Fraud,7977.63,Sara K.,Pending,0,OVERDUE
CASE-0097,CUST-0571,TX-000093,4/15/2026,Escalated,High,Card Fraud,4539.64,Ahmed M.,Pending,0,2 days
CASE-0098,CUST-0311,TX-003435,3/15/2026,Closed,Medium,Phishing,2657.88,Ahmed M.,Fraud Confirmed,663.44,2 days
CASE-0099,CUST-0178,TX-009893,3/15/2026,Closed,Low,Phishing,1593.65,Ahmed M.,Fraud Confirmed,974.36,OVERDUE
CASE-0100,CUST-0930,TX-003388,4/1/2026,Investigating,Medium,Synthetic ID,8072.07,Noor F.,Pending,0,OVERDUE
CASE-0101,CUST-0730,TX-006432,1/29/2026,Open,Medium,Phishing,1781.02,Ali R.,Pending,0,OVERDUE
CASE-0102,CUST-0674,TX-000693,4/18/2026,Escalated,Low,Synthetic ID,5636.96,Ali R.,Pending,0,12 hrs
CASE-0103,CUST-0604,TX-004517,4/6/2026,Closed,High,Phishing,1760.76,Fatima S.,Fraud Confirmed,178.79,OVERDUE
CASE-0104,CUST-0004,TX-001983,3/3/2026,Closed,Low,Money Laundering,6576.61,Ali R.,Fraud Confirmed,3912.55,2 days
CASE-0105,CUST-0991,TX-008490,1/29/2026,Open,High,Synthetic ID,252.39,Sara K.,Pending,0,12 hrs
CASE-0106,CUST-0145,TX-005789,3/22/2026,Escalated,Medium,Account Takeover,662.38,Ahmed M.,Pending,0,12 hrs
CASE-0107,CUST-0703,TX-006277,4/15/2026,Investigating,Low,Phishing,9619.69,Sara K.,Pending,0,12 hrs
CASE-0108,CUST-0994,TX-005225,4/1/2026,Investigating,Medium,Account Takeover,6767.62,Ali R.,Pending,0,12 hrs
CASE-0109,CUST-0602,TX-005238,3/7/2026,Closed,High,Phishing,510.37,Fatima S.,Fraud Confirmed,197.13,2 days
CASE-0110,CUST-0659,TX-003904,1/26/2026,Closed,High,Card Fraud,7098.18,Sara K.,Fraud Confirmed,3467.57,5 days
CASE-0111,CUST-0961,TX-006700,4/22/2026,Investigating,Medium,Synthetic ID,4064.05,Ahmed M.,Pending,0,12 hrs
CASE-0112,CUST-0756,TX-006836,2/28/2026,Closed,High,Card Fraud,8154.75,Ali R.,Fraud Confirmed,2326.19,2 days
CASE-0113,CUST-0441,TX-000054,3/22/2026,Closed,Medium,Account Takeover,8223.27,Ali R.,Fraud Confirmed,4110.8,5 days
CASE-0114,CUST-0300,TX-009647,3/3/2026,Closed,Critical,Account Takeover,1369.19,Fatima S.,Fraud Confirmed,1146.98,5 days
CASE-0115,CUST-0608,TX-008958,4/10/2026,Closed,Low,Account Takeover,1568.87,Ali R.,Fraud Confirmed,736.27,12 hrs
CASE-0116,CUST-0777,TX-009980,4/4/2026,Closed,Low,Synthetic ID,10049.92,Sara K.,Fraud Confirmed,2428.97,5 days
CASE-0117,CUST-0151,TX-005657,2/13/2026,Investigating,Medium,Synthetic ID,2312.02,Fatima S.,Pending,0,12 hrs
CASE-0118,CUST-0406,TX-004335,3/15/2026,Escalated,Critical,Phishing,8953.92,Fatima S.,Pending,0,5 days
CASE-0119,CUST-0610,TX-009125,3/5/2026,Investigating,High,Account Takeover,3094.39,Ahmed M.,Pending,0,2 days
CASE-0120,CUST-0507,TX-000028,2/10/2026,Closed,Low,Phishing,2392.1,Fatima S.,Fraud Confirmed,470.51,5 days
CASE-0121,CUST-0610,TX-005360,2/21/2026,Investigating,Low,Card Fraud,3226.85,Ali R.,Pending,0,2 days
CASE-0122,CUST-0464,TX-008147,1/26/2026,Open,High,Money Laundering,9450.39,Noor F.,Pending,0,OVERDUE
CASE-0123,CUST-0823,TX-003636,2/16/2026,Closed,Low,Card Fraud,8140.44,Ahmed M.,Fraud Confirmed,6294.67,5 days
CASE-0124,CUST-0771,TX-008502,3/25/2026,Investigating,Critical,Money Laundering,5816.3,Sara K.,Pending,0,OVERDUE
CASE-0125,CUST-0848,TX-009852,2/20/2026,Open,Medium,Money Laundering,7669.79,Ahmed M.,Pending,0,5 days
CASE-0126,CUST-0982,TX-003335,2/3/2026,Investigating,Critical,Phishing,1582.49,Sara K.,Pending,0,OVERDUE
CASE-0127,CUST-0967,TX-008394,3/8/2026,Investigating,Critical,Account Takeover,4650.15,Noor F.,Pending,0,OVERDUE
CASE-0128,CUST-0258,TX-005432,1/26/2026,Escalated,High,Money Laundering,8134.98,Sara K.,Pending,0,OVERDUE
CASE-0129,CUST-0587,TX-003148,3/18/2026,Escalated,Low,Money Laundering,1166.67,Sara K.,Pending,0,2 days
CASE-0130,CUST-0484,TX-002979,1/27/2026,Open,Low,Card Fraud,54.22,Sara K.,Pending,0,12 hrs
CASE-0131,CUST-0750,TX-008196,2/21/2026,Escalated,Critical,Account Takeover,3110.09,Ahmed M.,Pending,0,OVERDUE
CASE-0132,CUST-0258,TX-005203,4/23/2026,Investigating,Low,Money Laundering,4092.69,Fatima S.,Pending,0,2 days
CASE-0133,CUST-0371,TX-008882,3/31/2026,Investigating,Medium,Phishing,2880.4,Noor F.,Pending,0,12 hrs
CASE-0134,CUST-0985,TX-001022,2/6/2026,Investigating,Medium,Card Fraud,3725.15,Fatima S.,Pending,0,12 hrs
CASE-0135,CUST-0060,TX-001161,3/29/2026,Investigating,Low,Account Takeover,9383.53,Sara K.,Pending,0,12 hrs
CASE-0136,CUST-0514,TX-004224,2/8/2026,Open,Critical,Account Takeover,5640.26,Ahmed M.,Pending,0,12 hrs
CASE-0137,CUST-0031,TX-001640,3/17/2026,Closed,Low,Card Fraud,7424.88,Noor F.,Fraud Confirmed,6062.06,2 days
CASE-0138,CUST-0976,TX-008445,2/7/2026,Investigating,Critical,Account Takeover,3825.51,Noor F.,Pending,0,OVERDUE
CASE-0139,CUST-0332,TX-006630,3/3/2026,Open,Medium,Synthetic ID,6100.36,Fatima S.,Pending,0,OVERDUE
CASE-0140,CUST-0314,TX-006542,3/3/2026,Escalated,High,Account Takeover,618.98,Fatima S.,Pending,0,2 days
CASE-0141,CUST-0889,TX-005384,4/8/2026,Escalated,Low,Phishing,4204.92,Fatima S.,Pending,0,12 hrs
CASE-0142,CUST-0554,TX-004999,2/10/2026,Investigating,Low,Card Fraud,4819.25,Noor F.,Pending,0,12 hrs
CASE-0143,CUST-0474,TX-004044,3/21/2026,Closed,Critical,Account Takeover,1188.12,Fatima S.,Fraud Confirmed,492.44,OVERDUE
CASE-0144,CUST-0315,TX-009348,4/3/2026,Investigating,Low,Phishing,4752.95,Ahmed M.,Pending,0,12 hrs
CASE-0145,CUST-0066,TX-004527,4/1/2026,Escalated,Low,Synthetic ID,7426.77,Noor F.,Pending,0,5 days
CASE-0146,CUST-0476,TX-002036,2/9/2026,Investigating,Critical,Phishing,3454.39,Ahmed M.,Pending,0,5 days
CASE-0147,CUST-0035,TX-007862,2/13/2026,Investigating,Low,Card Fraud,7071.26,Fatima S.,Pending,0,2 days
CASE-0148,CUST-0425,TX-003257,2/25/2026,Escalated,Low,Synthetic ID,1311.64,Noor F.,Pending,0,5 days
CASE-0149,CUST-0395,TX-005156,4/9/2026,Closed,Medium,Money Laundering,3613.18,Noor F.,Fraud Confirmed,655.76,5 days
CASE-0150,CUST-0794,TX-005256,4/5/2026,Escalated,Medium,Card Fraud,6415.05,Fatima S.,Pending,0,12 hrs
CASE-0151,CUST-0300,TX-000582,4/6/2026,Escalated,Medium,Money Laundering,11263.94,Ahmed M.,Pending,0,OVERDUE
CASE-0152,CUST-0186,TX-007737,2/4/2026,Investigating,Medium,Account Takeover,1495.36,Fatima S.,Pending,0,12 hrs
CASE-0153,CUST-0387,TX-007458,3/27/2026,Open,High,Card Fraud,3048.58,Ahmed M.,Pending,0,5 days
CASE-0154,CUST-0953,TX-003163,4/23/2026,Closed,Low,Synthetic ID,4027.34,Fatima S.,Fraud Confirmed,188.26,12 hrs
CASE-0155,CUST-0641,TX-003903,3/7/2026,Closed,Medium,Synthetic ID,5409.82,Sara K.,Fraud Confirmed,2131.22,2 days
CASE-0156,CUST-0845,TX-001108,4/18/2026,Closed,Medium,Synthetic ID,7259.27,Noor F.,Fraud Confirmed,4483.4,5 days
CASE-0157,CUST-0092,TX-004674,3/19/2026,Escalated,Low,Money Laundering,4517.97,Ali R.,Pending,0,2 days
CASE-0158,CUST-0408,TX-009794,2/7/2026,Open,Medium,Money Laundering,848.74,Ahmed M.,Pending,0,5 days
CASE-0159,CUST-0213,TX-002817,3/22/2026,Closed,Medium,Card Fraud,7627.76,Ahmed M.,Fraud Confirmed,3341.83,2 days
CASE-0160,CUST-0752,TX-003512,2/28/2026,Escalated,Critical,Synthetic ID,3492.53,Noor F.,Pending,0,2 days
CASE-0161,CUST-0511,TX-009613,3/17/2026,Escalated,Critical,Synthetic ID,10227.78,Fatima S.,Pending,0,OVERDUE
CASE-0162,CUST-0885,TX-008780,4/22/2026,Closed,Medium,Money Laundering,8163.96,Noor F.,Fraud Confirmed,2136.2,5 days
CASE-0163,CUST-0043,TX-000750,3/25/2026,Closed,High,Phishing,7014.51,Ahmed M.,Fraud Confirmed,1701.93,5 days
CASE-0164,CUST-0228,TX-004946,2/3/2026,Open,High,Synthetic ID,2573.92,Sara K.,Pending,0,2 days
CASE-0165,CUST-0754,TX-006118,3/14/2026,Closed,Critical,Account Takeover,9491.23,Noor F.,Fraud Confirmed,5772.67,OVERDUE
CASE-0166,CUST-0307,TX-007842,1/24/2026,Escalated,Low,Account Takeover,4906.62,Ahmed M.,Pending,0,5 days
CASE-0167,CUST-0160,TX-004071,4/6/2026,Open,Medium,Account Takeover,4867.33,Sara K.,Pending,0,5 days
CASE-0168,CUST-0042,TX-001180,2/14/2026,Closed,Critical,Card Fraud,8322.31,Ahmed M.,Fraud Confirmed,1526.99,5 days
CASE-0169,CUST-0914,TX-003879,4/9/2026,Closed,Medium,Synthetic ID,1719.25,Ali R.,Fraud Confirmed,480.01,5 days
CASE-0170,CUST-0080,TX-001464,2/1/2026,Open,High,Phishing,45.35,Ali R.,Pending,0,OVERDUE
CASE-0171,CUST-0711,TX-003697,3/7/2026,Escalated,Low,Synthetic ID,4589.59,Ali R.,Pending,0,OVERDUE
CASE-0172,CUST-0046,TX-009096,4/11/2026,Escalated,High,Synthetic ID,7056.78,Ali R.,Pending,0,OVERDUE
CASE-0173,CUST-0175,TX-006111,3/7/2026,Investigating,High,Money Laundering,4352.14,Ali R.,Pending,0,5 days
CASE-0174,CUST-0542,TX-007597,3/28/2026,Closed,Medium,Money Laundering,10312.43,Noor F.,Fraud Confirmed,6396.52,2 days
CASE-0175,CUST-0765,TX-009404,4/7/2026,Open,Low,Account Takeover,10286.05,Noor F.,Pending,0,5 days
CASE-0176,CUST-0549,TX-003711,2/23/2026,Investigating,High,Phishing,6422.18,Noor F.,Pending,0,OVERDUE
CASE-0177,CUST-0679,TX-000705,2/1/2026,Escalated,Critical,Account Takeover,8228.11,Ahmed M.,Pending,0,OVERDUE
CASE-0178,CUST-0144,TX-002402,4/4/2026,Investigating,Critical,Card Fraud,7682.09,Noor F.,Pending,0,12 hrs
CASE-0179,CUST-0870,TX-007306,2/18/2026,Escalated,Low,Synthetic ID,2807.28,Noor F.,Pending,0,2 days
CASE-0180,CUST-0360,TX-003041,4/12/2026,Closed,Low,Card Fraud,1097.42,Ali R.,Fraud Confirmed,785.55,2 days
CASE-0181,CUST-0571,TX-004120,4/16/2026,Open,High,Phishing,6623.21,Ali R.,Pending,0,12 hrs
CASE-0182,CUST-0697,TX-004740,3/19/2026,Investigating,Low,Card Fraud,2116.85,Noor F.,Pending,0,2 days
CASE-0183,CUST-0834,TX-007145,3/8/2026,Investigating,Low,Money Laundering,5107.44,Fatima S.,Pending,0,5 days
CASE-0184,CUST-0313,TX-008513,3/10/2026,Escalated,High,Account Takeover,10023.83,Ahmed M.,Pending,0,OVERDUE
CASE-0185,CUST-0998,TX-000140,4/13/2026,Escalated,Critical,Synthetic ID,2530.78,Sara K.,Pending,0,2 days
CASE-0186,CUST-0336,TX-004318,2/25/2026,Escalated,Critical,Account Takeover,8009.36,Noor F.,Pending,0,OVERDUE
CASE-0187,CUST-0443,TX-002606,3/3/2026,Escalated,Low,Money Laundering,9053.17,Sara K.,Pending,0,OVERDUE
CASE-0188,CUST-0775,TX-006177,1/29/2026,Closed,Low,Card Fraud,10405.83,Fatima S.,Fraud Confirmed,236.1,5 days
CASE-0189,CUST-0291,TX-007337,2/13/2026,Closed,Critical,Account Takeover,7116.19,Ahmed M.,Fraud Confirmed,5704.73,2 days
CASE-0190,CUST-0125,TX-009917,1/28/2026,Escalated,Medium,Card Fraud,3981.13,Ali R.,Pending,0,2 days
CASE-0191,CUST-0274,TX-005479,3/8/2026,Escalated,High,Money Laundering,6389.13,Fatima S.,Pending,0,OVERDUE
CASE-0192,CUST-0665,TX-004060,3/4/2026,Open,High,Money Laundering,3561.13,Ahmed M.,Pending,0,2 days
CASE-0193,CUST-0237,TX-006525,2/22/2026,Open,Low,Phishing,4871.36,Noor F.,Pending,0,5 days
CASE-0194,CUST-0667,TX-008152,4/16/2026,Open,Low,Account Takeover,3206.12,Noor F.,Pending,0,2 days
CASE-0195,CUST-0679,TX-005817,3/7/2026,Investigating,Low,Phishing,7273.68,Ahmed M.,Pending,0,2 days
CASE-0196,CUST-0043,TX-002683,2/17/2026,Investigating,Low,Card Fraud,6376.73,Sara K.,Pending,0,OVERDUE
CASE-0197,CUST-0333,TX-005210,3/12/2026,Investigating,Low,Synthetic ID,6160.82,Sara K.,Pending,0,2 days
CASE-0198,CUST-0655,TX-007197,2/16/2026,Closed,Critical,Account Takeover,6950.59,Noor F.,Fraud Confirmed,3742.79,12 hrs
CASE-0199,CUST-0937,TX-000648,3/21/2026,Open,High,Card Fraud,10714.65,Fatima S.,Pending,0,OVERDUE
CASE-0200,CUST-0901,TX-003481,2/28/2026,Closed,High,Synthetic ID,5736.86,Ali R.,Fraud Confirmed,266.2,2 days
CASE-0201,CUST-0659,TX-003904,1/28/2026,Escalated,High,Synthetic ID,5898.51,Ali R.,Pending,0,12 hrs
CASE-0202,CUST-0294,TX-009253,3/8/2026,Closed,Critical,Phishing,6596.35,Ahmed M.,Fraud Confirmed,3158.77,12 hrs
CASE-0203,CUST-0978,TX-003715,2/15/2026,Escalated,High,Account Takeover,2952.27,Sara K.,Pending,0,OVERDUE
CASE-0204,CUST-0113,TX-003177,3/22/2026,Escalated,Low,Card Fraud,8871.16,Fatima S.,Pending,0,2 days
CASE-0205,CUST-0112,TX-008926,3/18/2026,Investigating,Critical,Synthetic ID,2488.05,Fatima S.,Pending,0,2 days
CASE-0206,CUST-0944,TX-003046,4/14/2026,Closed,Critical,Synthetic ID,8071.71,Ahmed M.,Fraud Confirmed,5684.78,12 hrs
CASE-0207,CUST-0873,TX-000342,2/18/2026,Open,Critical,Account Takeover,4138.13,Fatima S.,Pending,0,OVERDUE
CASE-0208,CUST-0519,TX-009471,3/22/2026,Investigating,Critical,Card Fraud,6049.78,Fatima S.,Pending,0,2 days
CASE-0209,CUST-0620,TX-001047,3/7/2026,Investigating,High,Account Takeover,8107.35,Fatima S.,Pending,0,12 hrs
